AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2016,4,HUANCAVELICA,TAYACAJA,COLCABAMBA,PAPA CANCHAN (mejoradas)- color,0.0,103.0,1133.0,0.45
2016,9,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA CANCHAN (mejoradas)- color,88.0,0.0,0.0,0.0
2017,6,AMAZONAS,LUYA,LONGUITA,PAPA CANCHAN (mejoradas)- color,0.0,7.0,147.0,0.78
2017,1,HUANCAVELICA,TAYACAJA,ACRAQUIA,PAPA CANCHAN (mejoradas)- color,0.0,3.0,33.9,0.8
2017,12,HUANCAVELICA,TAYACAJA,PICHOS,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2017,10,HUANCAVELICA,TAYACAJA,COLCABAMBA,PAPA CANCHAN (mejoradas)- color,112.0,55.0,715.0,0.4
2018,11,APURIMAC,GRAU,PROGRESO,PAPA CANCHAN (mejoradas)- color,15.0,0.0,0.0,0.0
2019,1,APURIMAC,GRAU,PROGRESO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2019,3,HUANCAVELICA,ACOBAMBA,PAUCARA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,2,AMAZONAS,LUYA,LAMUD,PAPA CANCHAN (mejoradas)- color,4.0,0.0,0.0,0.0
2020,9,LIMA,CAÑETE,NUEVO IMPERIAL,PAPA UNICA (mejoradas)-color,8.0,5.0,122.0,0.9
2020,8,LIMA,YAUYOS,CACRA,PAPA CANCHAN (mejoradas)- color,3.0,0.0,0.0,0.0
2022,11,APURIMAC,GRAU,MICAELA BASTIDAS,PAPA CANCHAN (mejoradas)- color,3.0,0.0,0.0,0.0
2022,12,LIMA,YAUYOS,CHOCOS,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2023,1,AMAZONAS,LUYA,TINGO,PAPA CANCHAN (mejoradas)- color,2.0,0.0,0.0,0.0
2015,5,HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,PAPA CANCHAN (mejoradas)- color,0.0,6.0,63.0,0.5
2015,9,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2015,8,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,PAPA CANCHAN (mejoradas)- color,0.0,3.0,31.0,0.5
2015,12,HUANCAVELICA,HUAYTARA,TAMBO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
