ID,CULTVRNAME,LAT,LONG,SPP2
6522,Sale,-14.03,-71.57,Papa
6523,Cehuayllus,-14.03,-71.57,Papa
6524,Puca Aracc,-14.03,-71.57,Papa
6526,Charca,-14.8,-71.53,Papa
6527,Yana Chonque,-14.78,-71.42,Papa
6528,Huachuy Huarmi,-14.43,-72.1,Papa
6529,Poccoya,-14.43,-72.1,Papa
6530,Urpina,-14.43,-72.1,Papa
6531,Yana Ollon,-14.5,-71.95,Papa
6532,Isacana,-14.5,-71.95,Papa
6533,Yana Huancucho,-14.5,-71.95,Papa
6534,Pucucho,-14.5,-71.95,Papa
6535,Macuco,-14.5,-71.95,Papa
6536,Huachandera,-14.5,-71.95,Papa
6537,Yurac Sahuiulo,-14.5,-71.95,Papa
6538,Yana Bula,-14.5,-71.95,Papa
6539,Talos o Carlos Colota,-14.03,-71.57,Papa
6540,Chejchi Hualta,-14.03,-71.57,Papa
6541,Yanaele,-14.03,-71.57,Papa
6542,Ccoe Sullu,-14.03,-71.57,Papa
6543,Aracca,-14.03,-71.57,Papa
6544,Sonso Lomo,-14.03,-71.57,Papa
6545,San Juan,-14.5,-72.1,Papa
6546,Yana Suso,-14.3,-72.13,Papa
6547,Cuchi Acan,-14.03,-71.57,Papa
6548,Yana Sahuinto,-14.22,-72.18,Papa
6549,Muru Ni±o,-14.22,-72.18,Papa
6550,Muru Imilla,-14.22,-72.18,Papa
6551,Torto Lomo,-14.53,-71.3,Papa
6552,Ccoe Sullu,-14.5,-71.95,Papa
6553,Ppoccoya,-14.5,-71.95,Papa
6554,Puca Huayro,-14.32,-72.95,Papa
6555,Cayma Marcela,-14.32,-72.95,Papa
6556,Yana Risco,-14.32,-72.95,Papa
6557,Yurac Calhua,-14.37,-72.88,Papa
6558,Huallapi Toro,-14.37,-72.88,Papa
6559,Cauchillo,-14.37,-72.88,Papa
6560,Karhuas Suito,-14.37,-72.88,Papa
6561,Shahuinto,-14.18,-71.57,Papa
6562,Macuco,-14.5,-71.95,Papa
6563,Ocke Charca,-14.5,-71.95,Papa
6564,Yurac Suito,-13.61,-73.51,Papa
6565,Rucki Huamilla,-14.38,-72.88,Papa
6566,Huaman Uma,-14.38,-72.88,Papa
6567,Alcca Risco,-14.38,-72.88,Papa
6568,Color Poncho,-14.38,-72.88,Papa
6569,Canchillo,-14.38,-72.88,Papa
6570,Alcca Risco,-14.38,-72.88,Papa
6571,Javillas,-13.65,-73.38,Papa
6572,Imilla,-14.22,-72.18,Papa
