NOMBDEP,NOMBPROV,NOMBDIST,INVIERNO,MAYO,AGOSTO,OCTUBRE,MARZO,DICIEMBRE,ENERO,SETIEMBRE,VERANO,JUNIO,NOVIEMBRE,ABRIL,FEBRERO,ANUAL,JULIO,PRIMAVERA,OTOÑO
AMAZONAS,LUYA,PROVIDENCIA,24.097567647575623,23.949441151643555,24.21432608832625,24.601881479516166,23.80111084867289,24.34742852487492,23.96718249213863,24.534254793876745,23.830455314698973,23.553209744525937,24.69743419494999,23.98946564000899,23.721858671479108,24.083054814656723,23.541937996133377,24.55520782457519,23.832934204844396
AMAZONAS,LUYA,SAN CRISTOBAL,22.26010712698412,21.894268721055735,22.376002799868512,23.098153694249433,20.982344815664636,22.48848865745623,21.718637155677236,22.63652125825251,21.25552502806981,21.882793014698272,23.098757978854586,21.45289415787156,21.162091512962142,22.074680164093227,21.85946483358775,22.877511573178886,21.779603645132045
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,19.996037600007135,20.049398703029226,20.02768062846454,20.541392268406614,18.892145134909782,20.001261371952072,19.249966424269594,20.203869123364708,19.009237840589595,19.973508224539454,20.62384123836365,19.42253339785178,18.893175590986676,19.828594642054355,19.743923892112562,20.384570927335442,19.828735201231005
AMAZONAS,LUYA,SAN JERONIMO,22.29382923840263,22.054242756265275,22.342396639473623,23.42578230862564,21.557972476721364,22.93521600766538,22.30112445610949,22.778050132498123,21.894444609132453,21.903937723914158,23.592740882371317,21.96053576643057,21.77130219539324,22.357554707368823,21.822994642560392,23.334625095810196,21.954516679513432
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,21.59097102433015,21.211782598129854,21.71368644114543,22.005454446936426,20.333553804567547,21.256703275293543,20.759821780907753,21.881817243682068,20.500979229306875,21.150605083000784,21.964854583805007,20.836557684377556,20.405523560564884,21.220392373637203,21.1529573832196,21.723088464534527,21.06534479808244
AMAZONAS,LUYA,SANTA CATALINA,21.59004622649326,21.648147367321386,21.539634260505913,22.671530559050222,21.051737326094386,22.288252367152854,21.591291504613,21.973890967682348,21.24972300164844,21.425250914452825,22.893834497381526,21.50599953465054,21.10484175391524,21.757673264498916,21.240514405942523,22.60197078992607,21.538653734501324
AMAZONAS,LUYA,SANTO TOMAS,19.892673840684086,19.788729531452475,19.963006175574797,20.518448380016366,18.818172111077356,19.792041169863033,19.152729604057857,20.129220818519087,18.918216813089224,19.745499336164187,20.591895802656193,19.305795322841913,18.7519760992177,19.681794921968653,19.58773043371866,20.261657919609508,19.632358189417275
AMAZONAS,LUYA,TINGO,21.32384497602385,20.92858644204099,21.491719615570112,21.771911529884775,20.022351038369543,21.02107640570968,20.374154218552846,21.68939779039299,20.126451700322036,20.889650551058548,21.76914603182046,20.478234440594193,19.978284672214404,20.914098332365306,20.86431310818731,21.503233276147647,20.772618278605474
AMAZONAS,LUYA,TRITA,22.14131529193034,21.0594439520295,22.189219106148098,22.21692718841063,20.156931906049,21.855661307177314,20.367489089912077,22.31380100912326,20.20668703724814,21.199855530643788,22.1722928979812,20.360284259898204,20.193823845084758,21.55038272166326,21.490720957774606,22.12523905948547,20.846209444974637
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,23.859748559955403,23.938371360228796,23.870929215986106,24.539654072764545,23.33891796636649,24.155329970175366,23.728859516399158,24.109069206754086,23.485303297914292,23.778581733768622,24.589439784154244,23.6784518014431,23.391474721804943,23.898756951864833,23.581856123820458,24.43163775372186,23.807120318060168
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,21.591113375534388,21.864033180800483,21.556742026114865,22.54258962415316,21.084875863411444,22.13452202310703,21.475174086098644,21.944936270748443,21.2113001196428,21.67199356219956,22.70276682755948,21.544097495786716,21.083224892055515,21.739793649818363,21.320501198541102,22.46387032996746,21.68972764117521
